IP Address,Country,ORPort,Bandwidth (MiB/s),Flags,Nickname
193.190.168.53,be,9001,35.24,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",kulcosictor
178.32.41.33,be,8443,67.41,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",DakotaEdge
138.48.33.162,be,443,41.94,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",UNamurCS01
81.241.188.39,be,9002,32.85,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",Billy
80.200.4.100,be,9001,4.00,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",Unnamed
146.70.57.10,be,58342,4.07,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",relay4525098470
84.196.14.175,be,9001,0.77,"Fast, Running, Stable, Valid",andrethemacTor2
81.164.127.253,be,27801,2.36,"Fast, HSDir, Running, Stable, V2Dir, Valid",TorRelayTor
178.32.41.33,be,8080,77.26,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",DakotaEdge2
81.240.34.228,be,9001,40.24,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",proteus
109.69.218.51,be,443,7.00,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",natsuko
45.83.20.200,be,443,17.72,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",sgtbilko
109.69.218.176,be,443,9.99,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",vandewoestijne
,,,,,
87.121.52.112,bg,9001,3.19,"Fast, Running, Stable, Valid",WatterFall
78.128.71.39,bg,9001,4.85,"Fast, Running, V2Dir, Valid",s1d0wsRelay
185.206.146.238,bg,9001,0.52,"Fast, Running, Stable, Valid",adhoczone
5.181.80.63,bg,9001,7.36,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",creepychris
5.181.80.101,bg,9001,6.64,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",GuiltyCarbine
